Username,comment
Herbalist Wa Kanaba,Someone shd remind the DP that the karen residence is a govt property.He shd also stop using it for campaign.Wajinga waliisha kenya hii
Mkush Mkush,Use enjoyed this privilege when Raila was in opposition calling him mganga now it's your turn 🤠🤔🤔
Mkenya Daima,"The effect of 1969 oathing was much discussed in state house, but they came up with impeachment story to divert public attention."
Pauline Wanjiku,Non of the above for me...we need total and radical change from all this characters...
Odero Atieno,Says a man who have been hosting delegations one after another in Karen's government home. Ruto should think before talking
Okerosi Nyaks Fred,So dis unity is supporting Raila???Unity is you?Silly
Ayako Junior,This guy says he put Uhuru in office. Why doesn't he put himself in the office too?
Bashkas Jugsodaay,Always clever boy they say nyani haoni kundule. Why don’t you start then ask him to follow. Ruto is never principled he likes to point finger at others and not looking at himself
AlQuz Sunapol,No deputy president in kenya has ever won any election
Lynder Adaliah Kaumba,"Ruto has no agenda always,"
Zahra Hassan,Woiyeeee is this how drivers suffer during campaigns 😅😅
Joseph Mutai,Ruto forgotten that he used government resources in 2017  ?
Victor Mac Adika Gudah,He is the one who is dividing Kenyans !!
Eli Wanga,Ruto is headed to opposition!
Lin Dessy,This kind of leadership is tiring kila siku manenos
Thomas Chisebe,And what about the Karen resident is not a government building! Ruto yawa.
Ken Njoro,Which funds bro tell us
John Jackson,"Is joining UDA where unity belongs? you tried to impeach Uhuru, we take it personal .."
Peter Power,This guy thinks Kenyans  are fools.we have seen delegations  going to Karen. huko kwani ni sugoi.
Kiselia Nangunye,Being Ruto is Soo hard
Ben Mwiti,You have been buying politicians in Karen while your rivals played safe for the right time. Now that you are pressed financially and your rivals got into the game you are crying. Timing is everything in politics. Uhuru outsmarted you stop crying............
Isiraeli KE,Ruto has been paind for 4yrs while just campaigning... We shall deal with him accordingly
Blessings Sam,We will never forgive raila for deceiving our president actually railas fate is in hades
Musalia Alex,And ruto stop using Karen small state house to plan looting
Masibo John Rombosia,He has brought disgrace to presidency
Jordan Kithome M,At least uhuru is using statehouse and working for kenyans.... You are using govt resources including the karen house and you are not working for anyone but yourself.
Eddy Munialo,"It's ruto who is dividing Kenya , the have and have not"
Mutua Patrick,"When the DP uses his official residence to promote his party, is that ok?"
Reuben Muuo,Using DP office cars and resources to spread bitterness.
Chinsky Job,Official DP residence in Karen has held meeting with all ethnic leaders in Kenya
Nimrod Shabaan,Let him deputize mama Aisha jumwaas his running mate all coast votes will be his!
Anthony Ole Mashenga,Stop using DP office to do dirty politics ...
Cessna Maish,Icc is opened
Aggrey Magawi,And to you; Stop using DP'S residence to dish out money and fool the gullible.
Oscar Malcomx KE,"Ruto kindly you have made enough noises on top of cars,it's the highest time you start packing your belongings from Karen DP resident for the newly occupant likely to be iron lady from mountainous suburbs."
George Gosho,Atleast Leo nimeona 'kinaga ubaga' vile miguu zao huwekwa mle ndani ya gari wakati wowote wanapotoa nusu za miili yao juu ya gari kutafutia familia zao tenders na kuibia wananchi. Ni kazi kwelikweli.
Brian Aseka,"To support UDA politics, you should abandon ur brain."
Jomo Jomo,Stop using the Deputy President’s office to steal public funds
Balala BN Najib,"l don't know who's going to win this presidential election come august, but one thing for sure is William Ruto will not win that's for sure, take it to nearest KCP bank 🏧 near you for a loan 😂😂😂"
Kenneth Chege,Disunity between whom and who?
Hon Geoffrey Matunda,Why use Karen as a campaign center mr ruto 🤔🤔🤔
Peter Mwangi Pmk,"He was attacking Uhuru on top of Taxpayers' car, and using Taxpayers'microphone"
Gachuiri George,Says a man who has used Deputy president's official residence to campaign and receive political delegations for 4 years.
Baba Gaston,does disunity come only when the president doesnt endorse loot all? surely loot all should stop treating people like gibbons ( tugege )
Victor Omwambi,"The tents you put up for  meetings that you have been conducting in the official Deputy President residence in Karen, have you ever heard the president speak that you are using that public space for your own selfish agendas?"
Jeff Geoffrey Ongwea,Stop using Karen which is a government official
Joseozil Mwangi,Mlevi is a confused man
Denis Tonui,"Mkosoaane nyinyi wenyewe ,wakenya wako pamoja"
Kayo Justus,Lakini ruto wewe yani uhuru amekufyeka hadi ukajisahau
Paul DE Champion,You will never be president of Republic of Kenya
Vict-r Aduda Nyaori,Tumechoka na Uhuru Ruto wawekwe kwa nyayo stadium wapigane mwenye atashinda aendele na uongozi
Julius Kamau,"Makasiriko imeanza mapema,kwani Karen Ni sugoi,akwende"
Brian Wasafi,Useless loudmouthed DP
Prince Mwalo Leo,Kwani uta do??🤣🤣🤣🤣
Riogi Dancan,We umesahau vile umekuwa ukitumia Karen nyani haoni kundure .........liar
Jennie Jenniffer,Lakini si mnafinya huyo dereva
Issa Chamberlain,Stop using Karen to abuse the president
Valentine Shixx,Mimi kura yangu n siri yangu..LoL
Martin Marto,Azimio hamna chochote kelele tu!
Dela Gatta,Crying baby na si uko na number yake call him ...una muogopa nni! Na si ulisema ako na vote moja... Acha kutushow mambo na uhuru ndio tukuhurumie uza agenda tukuskie nanii
Kimathi G Bonys,Don't tell us tell him hiyo ni mambo yenu
Janja La Zamani,Mwambie ukwel ruto
Rodney Price,Stop doublespeak omera Mr bitterman. Mama mboga na bodaboda si wajinga we know your high level of hypocrisy and deceit
Benard Owino,Wamatusi waendelee tu
Jarule Jarule,Watu wakate miti
Robba Wa Kwandolo,Ulimaliza kukata miti uko sugoi muda unawadia
Cyrus Mugo,Kweli dp
Ben Wambogo,"Nyi endeleeni na siasa, me bado nahurumia huyo driver mwenzangu vile amefinywa na Aisha. Na bado 12kms, ataganda."
Victor Ambajoh Miguel,Hi kburi itaisha
Ecam Lemic,24toshekeni nayo
Sylvia W Atieno.,"Ulisema 5 ukapewa, ukasema TANO tena ukapewa, tena unataka TANO, ukishapewa utataka tena TANO tena  20years is too much and nothing is changing."
Geoff Wa Mutush,Kuna unity yake imetumiwa..lootall bana
Tom-deenthausle Del-mantiperox,Si apigie uhuru simu sasa sisi anatuambia tufanye nini...sisi hatujaona iyo disunity...ruto ndiye anaona iyo disunity
Rodney Price,Wacha siasa ya porojo na Uwongo. wakenya wanajua WSR ni mtu wa hasira udanganyifu #mr6months
Jaoko Elijah,Wacha kubweka bweka
NJ Mac,Kumbe hivi ndivyo kadere anakuwanga amefinywa
Vena Evans,mpigie simu usituhusishe
Jose Kos,"Karen hom is also official, kumbe nyani haoni kudule"
Alex Gichaine Masiaga,"This is ur time to cry, utalia saana"
Irine Olare,Uza sera wacha kidomo domo man up..
Willy Wanambisi,"Si ana namba yake ,amcall amwambie hayo yote basi"
Brian Ontori,Imefika hapo sasa mr?
D O Arap Mibei,Huo mguu wa kushoto was naibu rais unaelekea sehemu gani humo ndani mwa gari!!!
Joel Mutumah,Kareni Ni nyumba yako ndio uendelee kuweka uda meetings uko?kumbaf hii!
Sam Billies,Wewe ndio wakwanza .....stop it first
Martoo Mancity,Hana number yake?
Sylvia Ocharo,Ruto toshaà
Muriîthì Gerãld,This ruto will go mad before the elections....he need a rest bana🤔
Joshua Omedo,Si akano number ya Uhuru
Rozzy Kim,"Naked truth,ongeza volume rutoo"
Nixon M Wendo,Story ya Livondo ilienda aje
Mwas Pato,Ata waseme nini ..5th
Paulyn Gari,Nkt
Jemimah Areba,An ex who does not accept ameachwa.... Ukiachwa achika... Hii nagging yako inabore
Manson Marieta,Komanyoko
Auka Freddie,Mpigie simu tafadhali...... Tumechoka kuskuza upuzi ya siasa na mafuta ya mboga ni Kama gold saa hii
Charles Muendo,Anza kupark mizigo from Karen to siugoi
Douglas Osiemo,Hauna mamba yake?
Natembea King Mulati,"Si you just call him umwambie, ama hauna number yake?"
Te Nyi,Huyu mwanamme ana mdomo jamani.  Mbona anadharau my president �  Chunga CV yako kijana!!  I am the next employer don't forget
Manson Marieta,Kom
David Gitau,They thought that our president will keep quiet.sasa anaeleza kinaga ubaga
Joseph Kariuki,Wewe unatumia Karen kufanya Nini ?
Habana Haba,Says someone who is using state House 2 to do exactly the same thing🤣🤣🤣🤣.bwana hapa Kenya nikama kila mtu ana wazimu
Vet Shadrack Kahoro,Mundu aríagíra haría arí.
Ñí Màçäù,In every Ruto's rally lazma ataje uhuru Kenyatta....what for
Mejjah Jairu Kamau,Tell him again amalize aende
James Kusa,Ulisema hupangwingwi..... 😂 😂 😂 😂 😂
David Wairia,Mr makasiriko
Kevin Johns,Hapo karen ni kwa mama yako
Fred Owino,Ruto tawe
Mary Wahome,HOW on earth can a    president be  preaching peace everywhere he goes but has refused to make peace with his DP.
Dan Kamau,I don't know who is worse between Ruto and those who believe his lies..it's true he says kuna upungufu wa wajinga Kenya because he took them all on his side.
Hephzibah Mwai,And he used his Karen home for four and a half years to promote divisions all over the country with his hustler/ dynasties demagogue overtones and he has the audacity to declare such? Kwani who asked him? What is this he is so afraid about in Uhuru Kenyatta toking to his own pple? Mimi sijawaii elewa Ruto?? He even wants to control our president and defacto Kikuyu leader? Has he ever seen UHURU go to the South/North Rift to speak Kikuyu huko??
Ben Benjamin,"Ruto thinks he can play ""escalate to diescalate"" against his boss"
Buddah Noah,If deputy president waited son of jomo to endorse him he would wait until Gods come for 2nd time....  calculations of Ruto angered him 😠   Ruto the 5th
Ledama Kiplangat,"Ruto has been using DP official Residence to hold Tribal meetings from 2018, Meetings that were used to incite people to Hate Uhuru,  We have Not forgotten my FREN."
Eduu Eduu,William Ruto should stop referring to Uhuru Kenyatta as my friend or my brother. A person who is always talking ill against you  and also spreading propaganda against you is not your friend but your biggest foe...
Harry Omwaka,Nyamasaaaa
Sos Sos Peter,Siampigie simu amwambie hiyo yote
Evans Aduvaga,Uhuru tano Tena prime minister
Vincent Neondo,Vincent Neondo
Wa Shiko,🤣🤣🤣🤣🤣🤣🤣🤣🤣
Mkenya Mzalendo,Deputy jesus has said
Ignatius Mwangi Kamau,"Si uwachie mungu jameni, yangu kumi takataka was trashed, accept and move on"
Okoth Gilbert,Heee mungu anipee guts za huyu mtu😂😂😂
Mwirigi Mbutura,alaar
Oliver Marende,"Mwizi is the one dividing Kenyans, but his fellow Kalemenos ndio wataumia"
Ryan Hechdy,Call Uhuru on his mobile or landline phone....we are sick of your panganga kama za jilted lover.
Stephen Mbugua,"Ruto All The,way"
Oliver Mbithi,"hustler ajielewi,,,vice president 😒"
Kevin Ombri,Wazi Herod ruto for bashing Nebuchadnezzar kenyatta
Sakita Jackson,RUTO RETURN BACK OUT CONDOMS 😠
Ali Bhai,"Nonsense, said a thief"
Kennedy Njoroge,Imara Land Investments ltd Call WhatsApp +254702365500 Our Projects ∆ 50 by 100 ∆ ✓Joska Gated Community @435K. ✓Nanyuki Gated @199K.  ✓Matuu Kivandini Bypass @140K.  ✓Rumuruti Laikipia Headquarters @125K. ✓Malindi @80K... Free Flight ✈️ Beach 🏖️ Hotel   Site visits every Saturday. Book Book Now!!!!
Franqy Nyatindo KE,Ruto is a pathetic joker
