Username,comment
Sheltone Cheriot,She still have to beat Kidero for the ODM ticket
Clemo Kimathi,Hange win
Innocent Omboko,Not a boost for Kidero?
Kevin Mitz,To the people of Homabay--VOTE WISELY
Jmoh Ke,"Maybe the cert has been handed over already to one of the contestants, between Kidero and wanga."
George Akong'o,"bado kuna wazee wengine huko siaya,,,,Orengo and Oburu Odinga,wanangoja nini,direct tickets are never a threat to us voters na c tafadhali"
Kiplangat Godwin Jemoget,Minister of finance in Baba's gov
Masoud Juma,So amewaambia he dropped his bid in favour of wanga or what?
Chepkorir Magda,"Hata wangeenda wote,  Wanga would still win.  Go go go mrembo.  Continue breaking the bias."
Joshua Aladho,Did he say he will support wanga?
Akinyi Nyangisa,I cry for my county 😭😭😭
Carolina Phy,Girl power❤️🙏
Leslie Mungai,Wangoje wapangwe..ODM hakuna kitu kama nominations.Baba ndio hupanga team yetu!
Calvins Ouma,No magwanga no election we are tired odinganism all be sleeping thoroughly.Homa bay
Javan Ochieng,Wanga #genowa
Fredrick Kimemia,"Hon Gladys Wanga, MP  is the best candidate so far !!"
James Barasa,Mama Gladys wanga tosha
Abu Raia Mwema,But Raila will never be President..
Owak Owak,"Thapki hawezi,iyo ni Magwanga 10 Bora"
Junior Korir,Odm cows wanapangwa hakuna nominations uko
Douglas Bahati,Why not boost to kidero?
Min Kim,Genowa  Nyar kaneyaa
Linurse Ruto,Kumbe anakuanga na uwoga pia mrembo amtandike
Shaddy Mghipuka,Mbadi alikua tu aanguke mapema
Teketeke Justin,Wanga ndani
Ouko Ouko Dullo,Eti boost for who?
Wesley Monroe,Wanga the best  na ashawin
Proff Rickie,Hii kiti ni ya mama 💪
Allan Lugivia,wanga asubui ako Kwa office ..uyu mama Ni mzuri kweli
Martin Ajowi,Oko nyal
Jonny Daktare,"Ati boost for wanga,kwani kidero sio mtu"
Bishop Muge,"Muoga mdomo miiingi anaogopa wanawake Bure kabisa,pambana na mwanaume Ruto bsai nauvae mrinda"
Walucho Erick,"Uoga tu huo,,,"
Tosh Tosh,Ni fenye ground ni different.
Cheruiyot Tooh,Ameogopa kidero
Odeyo Oyando,Ground ni kumoto
Carlpeters Maghuta Mbogo,Wanga should deputize Magwanga or Magwanga to deputize Wanga. My take
David Omollo,Kamano
Omolo Junior,Ogwe nyalo kawe
Mutuerandu Mwirigi,Wanga is leading..you have accepted defeat 🤣🤣..then you are busy insulting Ruto.. mwanaume mzima..anaogopa mwanamke 🤣.. fhunda wewe
Elegance Mtema Kuni,Pahali Kuna kidero sio rahisi
Kizzilah Winnie Winnie,Genowa pod pek
Gesora Mogeni Mogeni,Hio nayo ni Kali....God knows next governor
Ronn R. Onyango,Jo Homa bay....be ulitna ndi...???
Collince Ngira,"Mama county tosha!!!  Hon Gladys Wanga, MP  kazi kwako"
Luvai Alex,Wanga
Desmond Obala,Na huyu Wanga anataka kufana the late Mapambano Mapambano..... 🙈
Muyale Jomba,How
Ng'ulet Kemei,"Now that ""we"" are hand-picking candidates, mrembo ya mdosi lazima apewe kitu"
Jeremiah O. Gwaro,Kidero tosha
Jaringa,Kidero nyaka debe!
Genarali Javan Leaky,Kidero will slap her  We ngoja 😂😂
Katherine Nyalwal,kuna fununu eti ground ina sema Magwanga😉
Stephen Otieno,Genowa ❤️
Azimio La Umoja,Wanga will win
Andrew Lewa,I would trust millie Odhiambo than this thing called wanga who hv swindled women in the same county
George Otieno,Good gesture bu they just seek office just to steal public funds. Obado did zero and Wanga too will do zero. If our counties were serious kisumu would have been in a different league. ODM ni shida tu
Wa Cũcũ,"Mbadi is a wise man, he knows without vomiting money up to 50m his hands will remain down while others are raised up kama walikuwa Kwa boxing competition 🇰🇪🇰🇪😏😏."
Nereah Odera,Why Wanga when Kidero is also breathing 🔥?
Baraza Zachariah,Thank you mbadi.... Masaa ni ya mama
Virginiah Wanjiku,Ni baba imesema
Kinyanjui Wa Kimani,Fighting against their fellow thief😂🤣
Joyce Nyulia,#GENOWA
Jenzi Hamad,#Genowa
Nyamus Ochola Jamigori,Nyamus Ochola Jamigori
Gilly Bett,"If you are not on babus list of preference, the voters don't matter. You must bootlick babu to get to his wish list. Wanga has outwitted her chair and all the rest."
Simon Otieno,How is it a boost?? It is high time you media stop this white elephant  headings.
Laban Onacha,Boost for wat...b it Wanga or Mbadi ...this are all Railas cows no impact
Faith Wafula,Sense of early defeat
Erick Sahin,Hapa sasa ni kidero na wanga
Kalast Born Mdogo,Wanga will win
Rioba Abdul,Homabay county matters
Evlyne Auma,"Kidero will win,I think."
Jacob Nabwala,Kidero must fall Ka MSC
Adicky Odero,Wanga rating in % against kidero ; 50% n kidero 30 % . the remaining 20 is shared btw Magwanga n Isayah Ogwe .
Akinyi Owino,Kidero should be next.
Job Onserio,go go go mother
Job Onserio,go go go mother
Davy Ba Ashly,Wanga is de best bet
Kennedy Mbori,Gov
Evans Onda,Homa Bay is for Evans
Kimaru Symoh,Kidero got deep pockets
Elkana Odhiambo Ouma,Orengo and oburu shoukd follow  mbadi
