Username,comment
Moses Kirui,"Sabotage, assassination then impeachment all are falling and they become confused daily"
John M Kihu,People's president ain't you 😂😂😂
Edward Ireri Nduma,But it's Uhuru who had planned to impeached Ruto!
Enoch Wa Lugari,So it's clear Ruto wanted to impeach our 4th President H.E Uhuru Kenyatta using Raila refused the deal and shared the idea with the President
Mwalimu Kibet,... so it was Ruto who held 3000 Fulani elders from West Africa and spill the bean to them
Josiah Kangethe,"NTV post what Raila has said, stop this nonsense of Ruto this Ruto that"
Flexyzile Harts,Shame on you nation media for your propaganda
Erick Moturi,"Bottom-lime, Mr Promises is a dangerous kalenjinga."
Jerry Ben,"Raila;the fifth,Ruto,the sixth..😎Uhuru,the 4th squared🙄"
Mburu David Jnr,Odinga and Ruto will one day work together..no need to have hard feelings on either...
Edwin Lumati,No one is talking about drought and starving Kenyans🤔🤔🤔🤔😂
Jemima Kabiru,MUNACHOMEANA PICHA???.... TRICKERY KING???.... READ GOOD NEWS BIBLE (DANIEL 11: 21 - 45).... KEEP ON WATCHING AND PRAY.
Steve W Manchester,"Raila can't accept anything . Am even worried now that he is going to win the coming election u may hear this from him ,"" Mimiii kusema ukweli, hata kama nimeshiindaa lakini Mimi sijashindaa. Kitendawiliii, nani ameshinda lakini niuongooo??? ""  Hapo itabidi akubali ameshinda. The 5th"
Evanzie Bedie,Report what is there
Chesoni Arap Kosky,Claims By ruto or By uhuru
James Mungai,uhuru it was Ruto who introduce me to alcohol🤣🤣🤣
Janet Rotich,Who made the claims?Uhuru or Raila
Benard Were,Uhuru is trying all means to bring Ruto down but it's unstoppable
Emmanuel Koskei,ntv bureee kabisaaa......its raila who said that he was not aware about claims that ruto wanted to impeach uhuru.....shenzii kabisa kwani ntv mnalipwa na deepstate
Nyamolo Dickence,Unfortunately no sane Kenyan can trust RailaOdinga.Maybe Watermelon KalonzoMusyoka of Assmio-Oka Alliance can🤣🤣
Ukoo Flani,Odinga denies claims by uhuru or Ruto? I don't understand your statement!!
George Ka Sisi Somo,Poor reporting
Willis Koskei,So why is NTV distorting facts?
Ogeto David,Raila might be starting supporting DP Ruto
Beowulf Maurice Maurice,Now you are Misinterpreting for it to be consumed by uninformed people 🙄
Kim Sudi,Did he plan on Moi???
Simon Gesengi,"Kiprono Kirui ,I salute you brother,let them give us a break"
Emmanu Kimutai,So you people are playing with our minds🙄🙄
Kijana Ramadhani,Nakumbuka kipindi cha maandamano kila wiki sikuwai kumsikia Dp akisema eti acheni neno amani tuuongee yeye alikua anafuraiya tu ili aejoy raisi akitolewa.
Chess Chesda,"its who planned,why are all denying yet am just hear"
Jerkthis Jairuz,We know you Raila
Jose Kabz,Who cares who is who??  #Lowerfoodprices
Rock Valour,NTV WACHA FITINA! FITINA! CLAIMS WERE FROM THE PRESIDENT THAT RAILA TOLD HIM ABOUT THE IMPEACHMENT PLAN BY RUTO. CLAIM WAS NOT FROM WILLIAM RUTO.
Cathy Munyenya,Tyranny if numbers yenye jubilee walijidai nay Tena ndio yenye ilitaka ku impeach their president?Haki Kenya Ni wajinga.The truth is RUTO is greedy for power.He can do anything
Kariuki Mark,"Who sworn in himself,  Ata watoto wa class 2 wanajua ni huyu conman raila"
Banzzy Karugu,Sasa hiii kizungumkuti yooote ni ya nini...can Kenya do campains without hurting words??aaah..papa jus bless RuTO for us thats all we ask from you
Sarah Chepkoech,kama Ruto alikaa Kwa kiti for 72hrs na uhuru akaenda American na akarudi Kenyans was very happy
Mike Kim,Kati ya Ruto na Raila nani alijiapisha juu ya tamaa ya uongozi. Kati ya Ruto na Raila nani alikuwa amekasirishwa na uhuru. Basi kati yao wawili nani alikuwa na uwezekano wa kungoa uhuru mamlaka. Kati yao nani alikuwa na machozi monday na friday. Kati yao nani aliingia sirikali kupitia mlango wa nyuma
Joseph Chirchir,Kwani impeachment ya Governor Sonko sio uchungu???
Nashon Rutto Barkura,NTV Kenya ushafuata mtindo ya Citizen TV.  Just a matter of Time. Mtajibu kwanini SK Macharia sio Mzungu.
Gibson Koech,Kama uko karibu na L.Victoria choteni maji  baba asiingie ajiue huko tarehe 9/8/2022😂😂😂
Ezbon Mureithi Mworia,Acheni kutusukumia hizo mambo. Wote ni kupe wanatunyonya  na wametumaliza.
Hillary Koech,Wamzindikisane na Uhuru waokelelee hayo maneno wakiwa nyubani.au sio baba! .
Ern Nest,By Dp or by Uhuru?
Jirani Morisi,why is baba not supporting moses kurias claim that his votes were stolen a couple of times? baba nunulia moses johnie walker blue lable bana!
Don Owino Jr.,Roundi hii ni Baba Kwasababu Kama Kuna Jambo ako na Jawabu la Adabu kwa Ruto.
Axon Rao Carlow,Ntv mko na shida
Sarbabi Kyalo,Tuambieni yote............hata Judas Iscariot alichaguliwa na Yesu na hakuona shida kumpiga bei!!!
Kevin Nato,kwani kazi ya DCI ni nn na NIS
Gombeh David,Ulisikia wapi Rono Bwana
Mai Cousin,'THE EDITOR IS JUSTUS OCHIENG' oooooooooooooooh
Joseph Kinyanjui,Unye alikosa sababu ya kuambia mountkenya sababu ya kumtema ruto sasa ameona mountkenya imekataa kumfuta sasa anatafuta sympathy aone kama mountkenya watakubali kumfuata but it's too late
Seraah Chepkirui,Sasa UDA watafanyaje Sasa na ndo Uhuru is getting started ata 1 month haijaisha tangu Uhuru aanze siasa ya kupigia debe Raila🙆. By the time we get to August Kuna watu watakuwa wanasweat sulphuric Acid  and UDA will be distancing itself from UDA.
Frederick Kemboi,"Mr Raiila, no need to respond to such. Rais alisema Ruto au Raila?"
Cheruiyot Sylvester,Yes! Raila is not aware so uhuru naye atuambie alikuwa anasema raila mgani na ruto mgani
Jyn Syombua K,Semeni yote
Dancan Makokha,Who is fooling who?
Trevor Odhiambo,"Ata nyiny mkiangalia those two gentlemen, Nani anakaa Mikora..😂 Certainly not Raila"
George Mburu,"2 monkeys,Kila moja na kudule!"
Lopez Joan,Mko na utoto
Rachael Mukhula,Endeleeni kupingana..☹️☹️☹️☹️.. Tunawangoja kwa ballot box
Kipchirchir Koech II,"Msiweke baba kwa mix hajui,, hapo ntamtetea"
Dennis Njeru,Just report what Raila said hii kingereza mingi ni ya nn.
Mark Githambo,Uhuru alilogwa na Raila kabisa kabisa
Brian Shivogah,Sasa NTV munajaribu kusema atuna akili Na maskio
Doreen Onditi,Raila kweli ni mkemwenza wa Ruto.
Jossy Gatho,Breaking news.. RAILA  AMRUKA UHURU KIPETRO..WACHA MUNGU WA RUTO AITWE MUNGU.
Alishia Wambo Muthui,Tena karukwa
Elishaz Korir Kipyego,"Uhuru made those remarks, not Ruto,wewe Raila uliza handshake partner wako vizuri"
Kigen Geofrey,"Nani hajui tinga alijaribu kubindua serikali ya nyayo 1982, nani hajui tena ni yeye alijihapisha 2017 na hata akaiita ouru mtoto wa mbwa."
Abedy Mbugua,Huyu mzee hanaga kitu ya maana ya kusema
Melvine Dennoh,so ni nani kama sio Raila Odinga  coz he said it more than 10 times
Kate Leah,We all know who was about to be impeached n that is ruto...uhuru aache kucheza mchexo ya paka na panya
Gift Muthusi Mutuku,What does this man admit? Hata kifo haezi kubali
Alfred Orek,"Ambieni ruto unga ikizidi maji,MTU anapikanga uji!"
Wasike William,"Hapo baba ako Clean, Uhunye alikua mangwai"
Samuel Joel,82 alikua so si kitu geni kwa babu mzee
Oxlad'ztotti Mtj,Raila ni kigeugeu sanar!
Drake Mon,Ruto the 5th president
Evans Korir,NTV Kenya si mko na mushenee sana
Collo Collins,Hiyo inawahusu
Moss N Mutuku,"According with the claims,nikama kuna kaukweli."
Muthiora Njuguna,Raila keep of uhuruto battles. Raila please ndugu wawili wakipigana enda nyanza ukapange ODM wachana na vifaranga wa Moi.
Eddy Langz,Kwani NTV mnapokea news na reverse 🙈🙈
Joseph Kamau,"White walikuwa hapo, Sasa Ni payukapayuka"
Francis Muso,Hii maneno tuyajua polepole na mimi najua kweli mwenye hiyo mpango....
Collyns Maurice,I only know of treason committed by Uhuru's darling. Hii ingine ni vijisababu tu ya kukataliwa.
Mureithi Ngatia,Jinga
Ibrahim Ibrahim,Ntv!!! Kwani uliexpect Raila akubali hio? Did you not see him in Uhuru Park a kijihapisha???
Ñí Màçäù,Kumbe hawa majamaa ni waoga
Roro Eric,Everybody knows ni ww kihii
Bafuu Kanyaití Endarasha,Mtu akinunua cooking oil litres tano anastahili  kufikishwa wapi ni security ya supermarket? 🤣🤣🤣🤣🤣🤣
Bonnie Mwangi,Kwani akijiapisha alikuwa anamean aje🤔🤔
Honourable Harry Too,Ntv mme geuza
Makamu Mar,Ulijiapisha kwa nn
Makokha Fanuel,Kwa hivyo ulikuwa unaapishwa uende wapi? Don't deny what is obvious
Myke Chemjor,Nani alijiapisha?
Philip Livingstone,Odinga acha fitina shugulikieni mwanainchi.
Christyan Kwizz,Hawa ndio viongozi wakenya wanategemea kubadilisha vitu😂😂😂😂😂😂 we still have a long way to go.
Nyash KE,Uhuru amerogwa
Pst Reuben C Kilel,Waja MUNGU Aitwe MUNGU
Brian Ojwang,Two kenyans. Problem in one pic.... Jimmy Wanjigi the 5th atawafagia wote🥰🥰
Gordon Kisuge,This thing is not impeachment as people view it ..it must be deeper
Lameck Tarus,"Raila cannot be trusted he betrayed Kalonzo,He betrayed musalia,He betrayed wetangula,He betrayed Rutto and he will betray uhuru"
Odi More,I expect the resources uses during campaign should be maintained for local mwananchi... Am out of politics
Betty Wairimu,Ruto now tell us who and how Baba could benefit from Uhurus impeachment..Not your usual lies please🤔
Esther Palmist,"Only mdvd can lead our nation soberly,hawa watu bureee"
Ngetich Kipngeno,Rutooo
Prince Wanga III,"The one who was to benefit from President's impeachment was Ruto, Probability of him to be behind such plans are high"
Martin Mukiira,True raila only knows about 1982 coup attempt because moi squeezed his family jewels fffery bad.
Ephie Irus Mk,How would Odinga have managed to impeach Uhuru when clearly the Tyranny of Numbers dominated parliament?
Virginiah Wanjiku,Ni huyu Mzee wa zimia la mawe Raila kama kawaida always  evil
Kibe Kamau,Uhuru is just embarrassing himself ... The point is He claimed Ruto was going behind his back to make handshake with Raila immidietely after the 2017 elections so that Ruto and Rao wamgeuzie.... Now who is a fool here Raila has no clue of such propaganda created by Uhuru. President Uhuru looks a fool ... Sending Jerimiah kioni to RMS in the morning to talk of the same now that Baba has denied of such where is Uhuru now.... They tried of narrative Ruto no Mwizi...it didn't get into Kenyans now he wanted to impeach him??? Bro come polepole bring out another one. Huyu mwizi mwenye alikua akuimpeach ndio tunachagua
Thomas Muriu,"Huyu president ako sawa, raila treason was nothing an now this ,,, aaaaaaiiiiiii"
Joseff Metobo,How people relate William Ruto and God just reminds me how religion is a brainwash and Ruto is a genius that found the right guys to brainwash. Remember you can't know if you are brainwashed😂😂😂😂😂😂😂.
Nyali Barracks,"Hawa watu wanawapanga wakenya, kuna uwezekano wote wawili walikuwa na huo mpango,"
Samwel Imbaiya,Na Raila si ajiheshimu jamani. Miaka yake shually ni ya kujibishana na H.E. president William Samoei Ruto?
Teresia Kijo,Can't u just stop all this back n forth accusations n focus on bringing back to life this dead economy all of u three....hypocrites of the highest order...u r just the kettles that call the pot black..tumbo zisizo shiba...
Constance Curtis,You are a fool if you can believe anything/everything that Ruto says.
Dennis Sidewa,Dennis Sidewa
Isaac Odhiambo,🤣🤣🤐🤐
Fantastic Paul,I think Kenya is only country on entire world that have comic politicians
Ezra John,"how would have Raila benefited by impeaching President uhuru Kenyatta?..if president is impeached,the person who would have taken the seat is a deputy.  Mr Kutenga anaona wakenya Kama mafala Sana"
John Jones,The one who is speaking the truth is the liar😁😁
Nicholas Cheptorus Kibet,The demagogue WSR is a perennial liar. Avoid him by all means
Jeff Hughes,Before the week end truth will come out
Shadrack Kiptugen,Claim by UHURU Not By Ruto. Yopleli
Abuga Calvin Omari,The Dp is a dangerous fellow.
Phanuel Kasuni,A pathological lier in the name of DP
Shadrack Kiptugen,Lost Media House. Washenzi Nyinyi Kabisa
Okello Dawood Salim,"Okay, Media people, kaaeni pamoja mtupee story zinafanana. Sio kila mtu kusema chenye alisikia"
Favoured James,Kwani hii story imegeuzwa?
Nicholas Rotich,NTV misreporting!!!!
Mututua Jack,Raila the Betrayor
Kathryn Kate,It's Uhuru's allegations....we ain't fools
Victor Rono,Raila to face treason judgement
