,Username,comment,clean_comments,tags
31,Captain Dominic Omondi,Video: PM Raila Odinga says The Technology that helped Rosemary Odinga regain eyesight will be in Kenya. https://youtu.be/KQ5YxgDC-v0,Video PM Raila Odinga says The Technology that helped Rosemary Odinga regain eyesight will be in Kenya,"[('Raila', 'RAILA'), ('Odinga', 'RAILA'), ('Odinga', 'RAILA'), ('Kenya', 'POLITICAL_PARTY')]"
32,Biko Nelson,Hujakosea bana,Hujakosea bana,[]
33,Sarah Sam,According to him.let him secure his job.his employer was watching.,According to himlet him secure his jobhis employer was watching,[]
34,Mutali K. Davis,A reason why I don't watch that thing called News Gang,A reason why I dont watch that thing called News Gang,[]
35,Kaguma Kagema,Word !,Word ,[]
36,AkinyiMum Nyoboch Nyargiyawuoi,Kindly stick to media and journalism... politics gwachana nayoo kabisaaa...,Kindly stick to media and journalism politics gwachana nayoo kabisaaa,"[('and', 'POLITICAL_PARTY')]"
37,Evans Kimtai Langat,Silly reasoning!,Silly reasoning,[]
38,Noela,Judas should also be a monument for betraying Jesus of Nazareth.,Judas should also be a monument for betraying Jesus of Nazareth,"[('for', 'POLITICAL_PARTY'), ('of', 'POLITICAL_PARTY')]"
39,Cliff Maranga,"Whe he fails as his own project,  he tries as a state project to see if he can succeed,  the fact that you have failed over 5 times makes it even more possible for you to be a project.",Whe he fails as his own project he tries as a state project to see if he can succeed the fact that you have failed over times makes it even more possible for you to be a project,"[('for', 'POLITICAL_PARTY')]"
40,Leonard Kimanthi,He wasn't but now sure he is .....,He wasnt but now sure he is ,[]
41,Mwantime Faith,Exactly but we're used to matusi,Exactly but were used to matusi,[]
42,Delvin Nyamwaro,True,True,[]
43,David Davie Davids,Monument,Monument,[]
44,Juan Bastante,Kaikai he is Always team raila since BBI started so it's a continuation of foolishness I'm not surprised.,Kaikai he is Always team raila since BBI started so its a continuation of foolishness Im not surprised,"[('of', 'POLITICAL_PARTY')]"
45,Linet Anthony,Well said,Well said,[]
46,Martin Lutha,Wewe kubali Uhuru anatumia mzee mbaya ni ukweli wa mambo,Wewe kubali Uhuru anatumia mzee mbaya ni ukweli wa mambo,"[('Uhuru', 'UHURU')]"
47,Kulundu Mkufunzi Wao,Bt not this time,Bt not this time,[]
48,Peter Wainaina,Right now he's the chief project of the current government!! Kwani tumekua vipofu hatuoni?,Right now hes the chief project of the current government Kwani tumekua vipofu hatuoni,"[('of', 'POLITICAL_PARTY')]"
49,Wycliffe Mudi,A monument is being misused ama 😊,A monument is being misused ama,[]
50,Bolton Kipruto Cheluget,Political caricature😂😂😂😂,Political caricature,[]
51,Anne Tush Anny,Naked truth.. only legends can understand better 😌✨,Naked truth only legends can understand better,[]
52,Victor Njogu Shenki,Linus kaikai we know you're azimio brand ambassador,Linus kaikai we know youre azimio brand ambassador,[]
53,Hadassa Njenga,"Huyu anakuanga bias always,,I watched that show n he doesn't at one time knw how to b neutral as a journalist, atleast wengine Kwa hiyo gang wanajaribu",Huyu anakuanga bias alwaysI watched that show n he doesnt at one time knw how to b neutral as a journalist atleast wengine Kwa hiyo gang wanajaribu,"[('one', 'UHURU')]"
54,Wandera Waff,Veeery true...,Veeery true,[]
55,Nyakundi Omurwa,Perfectly said,Perfectly said,[]
56,Violet Otieno,Well Said,Well Said,"[('Said', 'POLITICIAN')]"
57,Kawili Mike Snr Intellectual,Brain at work,Brain at work,[]
58,Vincent Chesire,"It's not only kaikai,citizen as all is in raila,so hiyo haitutishi kama uda",Its not only kaikaicitizen as all is in railaso hiyo haitutishi kama uda,[]
